标题	标题链接	iteminfo__line2__jobdesc__salary	iteminfo__line2__jobdesc__demand	iteminfo__line2__jobdesc__demand1	iteminfo__line2__jobdesc__demand2	iteminfo__line1__compname__name	iteminfo__line2__compdesc	iteminfo__line2__compdesc1	详情标题	职位描述	工作地点
大数据工程师	http://jobs.zhaopin.com/CC848300010J00212344802.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	7千-1.4万	西安	1-3年	本科	西安新希尔信息技术有限公司	民营	20-99人	大数据工程师	职位描述数据处理SQLOracleSpark数据库Hadoop  岗位职责：  1、参与项目的需求分析和设��工作，并完成相关技术文档的编写；  2、和产品经理沟通产品需求，深入理解业务，为业务部门提供有质量的数据支持；  3.熟练使用Sql、传统Oltp和Olap数据库、Mpp和Hive等分布式NoSql数据库。  4、负责核心业务流程的数据分析模型建模，数据仓库架构设计等；  5. 熟悉大数据采集ETL, 大数据存储，大数据分析挖掘技术，有CDH、Hortonworks或星环、华为大数据开发管理经验者优先；  任职要求：  1、本科以上学历，计算机相关专业，2年以上大数据从业经验；  2、熟悉分布式编程，精通JAVA语言程序设计，有良好的架构规划能力；  3、熟悉Hadoop和spark生态体系，熟练掌握HDFS，MapReduce,Kafka,Hbase等常用组件，并深入理解底层原理，能根据业务场景选择合适的组件 。  4、适应公司组织的异地学习培训以及出差。	高陵区陕汽工业园
大数据工程师	http://jobs.zhaopin.com/CC224763810J40126814011.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2.5万	西安-未央区	3-5年	本科	广联达	民营	1000-9999人	大数据工程师	职位描述数据库PythonScalaJavaSparkHadoop 任职要求： 1、大数据相关项目开发与调优； 2、负责数据的采集、清洗、分类、整合等数据处理工作；  3、负责数据服务接口开发；  4、参与大数据平台的架构设计以及相关技术问题的解决。 岗位要求： 1、计算机相关专业，本科及以上学历，3年以上Hadoop相关开发经验，2年以上Spark相关开发经验；  2、至少精通Java/Scala/Python语言中的两种；  3、对Hadoop、Spark、HBase、Hive、Flink、Yarn、ElasticSearch 、Kafka 等主流大数据技术有深入理解和和丰富的项目经验；  4、掌握数据开发的各项流程，擅长数据采集、清洗等环节，精通Sqoop、Flume等技术且有实际项目经验； 5、熟悉数据仓库原理，精通关系型数据库和NoSQL数据库的使用，熟悉Presto；  6、扎实的计算机基础，对技术有热情，愿意不断尝试新技术和业务挑战；  7、熟悉Spring架构和微服务架构者优先。	凤城十二路凯瑞大厦D座
高级大数据工程师	http://jobs.zhaopin.com/CC630677827J00087010107.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	2万-2.5万	西安-雁塔区	5-10年	本科	陕西云基华海信息技术有限公司	民营	20-99人	高级大数据工程师	职位描述HbaseHiveSparkPython岗位职责：1.参与公司大数据项目的架构设计及研发工作；2.参与公司大数据产品的架构设计、发展规划及研发工作；3.负责大数据技术方向的前沿研究、关键技术难题攻关。任职要求：1.了解java、scala、python，至少精通其中一种，能熟练掌握常用数据结构和算法；2.精通hadoop体系架构，包括HDFS、HBASE、HIVE、SPARK等；3.具备ETL开发经验；4.有Oracle/Mysql的使用经验，熟练使用SQL查询语言；5.有创新意识，并具备良好的学习能力、团队合作精神、沟通能力和组织协调能力；6.熟练掌握linux操作系统；7.本科以上学历，5年及以上大数据相关研发工作经验；8.有数仓、数据湖设计，AI数据数据挖掘经验优先考虑。	沣惠南路与科技二路交汇处西南角4号楼16层
大数据运维工程师	http://jobs.zhaopin.com/CC193399815J00253762712.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安	1-3年	本科	东华软件	上市公司	1000-9999人	大数据运维工程师	职位描述系统运维运维开发运维岗位职责:1. 负责项目应用的运维、管理、部署和架构规划;2. 负责系统日常维护工作，处理生产问题，准备并实施系统变更；3. 负责虚拟化平台、运维管理平台的建设工作；4. 受理各运维中心的自动化运维需求，提供自动化运维工具平台的技术支持，并开展工具的培训和推广工作;5. 负责对生产服务质量进行监控(zabbix)、分析, 定位性能瓶径并提出合理化建议, 参与系统架构设计和性能调优;6. 编写运维手册、部署文档、性能参数等相关运维技术文档，完善运维制度和流程；7. 各类故障和事务的应急响应和技术支持。任职要求：1、3年以上IT技术领域相关工作经验，2年以上IT应用系统DevOps经验 。2、熟悉精通windows、linux操作系统的配置、管理和运维；3、熟悉hadoop、熟悉关系型数据库。4、熟悉精通主流虚拟化平台（Vmware、Ctrix等）的配置、管理和运维；5、熟悉主流服务器及存储产品；熟悉Nagios、Zabbix等监控平台；6、对运维体系、DevOps、SRE有深入的研究和理解优先。7、熟悉目前主流等自动化运维工具优先。8、出差地西宁。	西安环普科技产业园 新加坡腾飞科汇城西楼22层
大数据高级工程师	http://jobs.zhaopin.com/CC856182520J40130717406.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-高新技术产业开发区	3-5年	硕士	中电太极	国企	1000-9999人	大数据高级工程师	职位描述HadoopPythonSparkStormHive  1、具有大数据平台系统架构设计经验，系统集成经验，有Saas平台架构经验者优先；  2、熟练使用Java，同时有脚本语言开发经验（Python/Shell）的优先；  3、熟悉Hadoop各组件的原理和实现，熟悉一种或以上大数据处理/分析工具，如Hive/Storm/Spark等，有相关经验优先；  4、精通常用设计模式，理解Restful风格接口规范，具有接口设计经验；  5、熟悉数据库相关理论知识，熟悉分布式文件存储数据库；  6、熟悉国产平台下系统开发。	软件新城二期A12
大数据开发工程师	http://jobs.zhaopin.com/CC478051780J40003390103.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.3万-1.8万	西安	3-5年	本科	中译语通科技(陕西)有限公司	国企	20-99人	大数据开发工程师	职位描述大数据开发岗位职责：  1、负责基于Hadoop/Spark等生态系统的大数据平台的架构设计、技术选型、搭建、开发、管理、监控和性能调优，保证集群高效稳定运行，对数据应用提供数据存储、查询引擎、实时计算、元数据管理的架构设计；  2、系统核心部分代码编写、指导和培训工程师、不断进行系统优化；  3、负责项目中数据准备、模型建立、模型跟踪、模型优化、模型维护、部署和评估等闭环流程，为产品优化及业务决策提供分析支撑及技术支持；  4、打造有行业竞争力的系统，能够支撑快速发展的数据业务。  任职要求：  1、3年或以上的大数据从业经验，5年以上数据挖掘相关经验，具备扎实丰富的大规模数据分析建模工作经验，参与过有大规模分布式数据存储与计算开发，具备一线互联网公司背景优先；  2、有大型分布式系统设计经验，负责过海量数据平台上高可用、高性能分布式系统的架构设计；  3、精通CDH，精通Hadoop/Spark技术体系，熟练掌握Mysql/Mongodb/Hive/Hbase/Kafka/ES等主流数据库系统，熟练AIRFLOW等调度工具,熟练使用Java、Python编程语言；  4、能够熟练使用java、Python等编程语言，对大数据基础架构和平台底层原理有深度理解和丰富开发经验,对复杂系统的性能优化和稳定性提升有一线实战经验；  5、可以快速理解和适应相关业务，有良好的数据敏感度和自驱力，善于捕捉业务需求、架构设计存在的问题，并给出有效的解决措施和方法。	陕西省西咸新区秦汉新城兰池大道兰池大厦C座20层
大数据开发（需出差）	http://jobs.zhaopin.com/CC193399810J40090985907.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安-雁塔区	1-3年	本科	东华软件	上市公司	1000-9999人	大数据开发（需出差）	职位描述ETL数据仓库SQL数据库数据开发备注：此职位需要出差西宁，不能接受出差者勿投！岗位职责： 1、负责公司数据仓库、业务数据集市的数据模型设计，数据调度及关键技术的研究实现，落地上层数据分析和数据应用 2、负责构建统一的数据规范、数据管理与数据治理机制、确保数据一致，数据链路合理，数据计算高效 3、参与数据平台建设，负责数据统计、分析及建模等，实现数据赋能业务的目标 4、基于海量数据，支持业务对数据的分析和使用； 5、支持业务处理数据的流式处理、分析客户行为等 任职要求： 1、计算机、数学、统计或相关专业本科及以上学历，2年相关数据仓库设计与开发经验 2、掌握数据库基础知识，SQL/HQL基本功扎实，具备优化复杂SQL的能力； 3、熟悉数据仓库建设方法，熟悉大型数据仓库架构和模型设计，精通ETL开发，具备海量数据处理经验，精通Mysql，Python/JAVA，Linux等，了解Hadoop/Hive/Hbase/Kafka等大数据技术 4、熟悉数据仓库领域知识和技能者优先，包括但不局限于：任务调度、元数据管理、数据质量管理、主数据管理、数据开发测试工具与方法等 5、熟悉机器学习、数据挖掘、数据分析、分布式计算至少某一方面，有较深的理论研究和实践经验优先； 6、强烈的责任心，优秀的团队协作，良好的沟通能力和自我驱动力。	环普科技产业园 新加坡腾飞科汇城西楼22层
（鲲鹏高层次）（西安）大数据架构师（大数据开发）	http://jobs.zhaopin.com/CC856182520J40099872306.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-3万	西安-高新技术产业开发区	5-10年	硕士	中电太极	国企	1000-9999人	（鲲鹏高层次）（西安）大数据架构师（大数据开发）	职位描述数据架构大数据架构 岗位职责: 2 精通Java/python/C中的一门或多门编程语言 2 熟悉互联网典型的大数据产品架构； 3 熟悉数仓建模理论，3年以上领域实践经验，能够独立完成系统架构； 4 熟练掌握Hadoop、Hive、Spark等大数据技术； 5 熟练使用Java或其他语言进行复杂业务逻辑的数据处理工作，具备海量数据处理和优化能力 6 熟练Mysql、Oracle、Redis、Hbase等数据库 任职要求: 1. 硕士及以上学历，计算机、相关专业 2. 5年以上 3. 有售前工作经验者优先 4. 良好的团队协作能力和沟通能力；善于思考，能独立分析和解决问题 6. 待人和善，责任心强	软件新城二期A12
大数据开发工程师（工作地点：西安）	http://jobs.zhaopin.com/CC399602780J40138527402.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	9千-1.4万	西安-长安区	1-3年	本科	通号智慧城市研究设计院有限公司	国企	20-99人	大数据开发工程师（工作地点：西安）	职位描述HadoopSparkHbaseHiveStormZooKeeperFlink 1、参与公司相关大数据平台/系统的规划、设计，负责平台的开发和基础运维； 2、负责数据的采集、加工、统计分析、可视化等开发工作。  任职要求：   坚决拥护中国共产党的领导，热爱社会主义，具备坚定正确的政治方向。    1、计算机或相关信息专业本科及以上学历，2年以上工作经验，能力优秀可放宽；    2、掌握Hadoop/Spark/Storm/Flink一种以上计算框架，熟悉Hive/HBase/ElasticSearch/Kafka/Zookeeper等大数据生态组件；    3、熟悉或了解数据采集、数据加工、数据管理，有海量数据处理经验；    4、拥有数据仓库、用户画像、数据挖掘等相关经验者优先；    5、善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和抗压能力。	地铁4号线神舟大道地铁站
大数据应用开发工程师	http://jobs.zhaopin.com/CC491912130J40122144708.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"1.2万-2.4万
          · 14薪"	西安	3-5年	硕士	西安大衡天成信息科技有限公司	民营	20-99人	大数据应用开发工程师	职位描述JavaC++Linux数据处理大数据开发一、薪资待遇：基本工资+岗位津贴+全勤奖+五险一金+加班费+年终奖+节假日福利+...... 二、岗位职责： 承担电磁数据领域大数据产品大数据应用服务功能设计和开发工作。  三、任职要求： 1、计算机、软件工程相关专业硕士以上；  2、具有三~五年以上软件开发经历，能够独立完成软件功能模块的设计、开发和测试；  3、精通JAVA、C++、Linux Shell语言，能承担后端平台技术、接口服务、数据处理、专业计算的开发；4、具备hadoop大数据及Docker容器生态技术，具备平台化应用服务的设计、集成和开发能力；  5、熟悉常用的程序设计模式，具备较强的编程能力和文档设计编写能力； 6、具有正规软件企业从业经历，具备良好的软件工程开发基础；具有良好的团队合作精神，具有强的设计沟通能力。	西安市灞桥区国际港务区港务大道7号物联网应用产业园208
